id,first_name,last_name
1364,Woody,Allen
2009,Paul Thomas,Anderson
2931,Darren,Aronofsky
3107,Richard (I),Ashe
3325,Richard,Attenborough
3519,John G.,Avildsen
6531,Ingmar,Bergman
6742,Adam (I),Bernstein
6866,Kenneth J.,Berton
8271,Uwe,Boll
9134,Danny,Boyle
9461,Jack,Bravman
9540,Valerie,Breiman
9615,Martin,Brest
10885,Tim (I),Burton
11079,Ed,Bye
11652,James (I),Cameron
12025,Frank,Capra
12114,René,Cardona
13549,Charles,Chaplin
14415,Roger (I),Christian
14738,Bob (III),Clark
15092,Ethan,Coen
15093,Joel,Coen
15901,Francis Ford,Coppola
16404,Bill,Couturié
16967,George,Cukor
17153,Vondie,Curtis-Hall
17154,Michael,Curtiz
18724,Brian,De Palma
20528,Peter,Docter
20713,Stanley,Donen
22104,Clint,Eastwood
22587,Kevin,Elders
24758,David,Fincher
24777,Morey,Fineburgh
24964,Bill,Fishman
25146,Victor,Fleming
25522,Milos,Forman
25789,Claudio,Fragasso
25819,Lisa,France
25845,Coleman,Francis
26753,Richard,Gabai
28025,Terry,George
28315,David,Giancola
28395,Mel (I),Gibson
28582,Terry,Gilliam
29348,Steve,Gomer
29394,Michel,Gondry
29463,Alejandro,González Iñárritu
30293,Andrew (III),Green
31322,Lawrence,Guterman
31943,Arch,Hall Sr.
32109,Robert,Hamer
32380,Curtis (I),Hanson
34475,David,Hillenbrand
34476,Scott,Hillenbrand
34658,Alfred (I),Hitchcock
35295,Peter,Horak
36817,Robert,Iscove
38512,Terry (I),Jones
40115,Tony (I),Kaye
40133,Elia,Kazan
40370,David,Kellogg
40390,Gene (I),Kelly
40418,Richard (II),Kelly
40654,Irvin,Kershner
42679,Stanley,Kramer
43095,Stanley,Kubrick
43417,Akira,Kurosawa
44365,Fritz (I),Lang
44718,John,Lasseter
45231,David (I),Lean
46014,Bobby Jean,Leonard
46046,Sergio (I),Leone
46515,Herschell Gordon,Lewis
48262,Sidney,Lumet
49917,Joseph L.,Mankiewicz
49939,Farhad,Mann
49945,Michael (I),Mann
50543,Richard,Marquand
52393,Andrew V.,McLaglen
52480,Sean (I),McNamara
52544,John (I),McTiernan
52953,Sam,Mendes
53721,Lewis,Milestone
53810,Frank (II),Miller
55860,Sam,Mraovich
56018,Robert,Mulligan
56182,John,Murlowski
56272,K. Gordon,Murray
57599,Sam (I),Newfield
57749,Mike (I),Nichols
58201,Christopher,Nolan
60713,Chan-wook,Park
63095,Roman,Polanski
63804,Otto,Preminger
64753,Michael (I),Rae
65051,Harold,Ramis
65620,Bill,Rebane
65940,Rob,Reiner
66829,Michael,Rissi
66849,Guy,Ritchie
67419,Robert (I),Rodriguez
68032,Stuart (I),Rosenberg
71645,Martin,Scorsese
71703,Ridley,Scott
72953,John (I),Shepphird
73623,David (I),Silverman
75380,Steven,Spielberg
75761,Andrew,Stanton
76524,Oliver (I),Stone
77159,Neal,Sundstrom
78273,Quentin,Tarantino
78306,Andrei,Tarkovsky
80432,Gary,Trousdale
81239,Lee,Unkrich
81935,Gus,Van Sant
82462,Gore,Verbinski
84577,Nicholas,Webster
84672,Paul,Weiland
84880,Orson,Welles
85543,Billy,Wilder
86091,David (I),Winters
86128,Kirk,Wise
86488,Sam (I),Wood
86802,William,Wyler
87869,Alex,Zamm
88102,Robert,Zemeckis
88418,Fred,Zinnemann
